Description,fundament,USB HID Spec,win32 VKey,macOS/AppKit,x11/xlib,linux event codes
A,fn_key_a,0x04,"""A""",kVK_ANSI_A,XK_a,KEY_A
B,fn_key_b,0x05,"""B""",kVK_ANSI_B,XK_b,KEY_B
C,fn_key_c,0x06,"""C""",kVK_ANSI_C,XK_c,KEY_C
D,fn_key_d,0x07,"""D""",kVK_ANSI_D,XK_d,KEY_D
E,fn_key_e,0x08,"""E""",kVK_ANSI_E,XK_e,KEY_E
F,fn_key_f,0x09,"""F""",kVK_ANSI_F,XK_f,KEY_F
G,fn_key_g,0x0A,"""G""",kVK_ANSI_G,XK_g,KEY_G
H,fn_key_h,0x0B,"""H""",kVK_ANSI_H,XK_h,KEY_H
I,fn_key_i,0x0C,"""I""",kVK_ANSI_I,XK_i,KEY_I
J,fn_key_j,0x0D,"""J""",kVK_ANSI_J,XK_j,KEY_J
K,fn_key_k,0x0E,"""K""",kVK_ANSI_K,XK_k,KEY_K
L,fn_key_l,0x0F,"""L""",kVK_ANSI_L,XK_l,KEY_L
M,fn_key_m,0x10,"""M""",kVK_ANSI_M,XK_m,KEY_M
N,fn_key_n,0x11,"""N""",kVK_ANSI_N,XK_n,KEY_N
O,fn_key_o,0x12,"""O""",kVK_ANSI_O,XK_o,KEY_O
P,fn_key_p,0x13,"""P""",kVK_ANSI_P,XK_p,KEY_P
Q,fn_key_q,0x14,"""Q""",kVK_ANSI_Q,XK_q,KEY_Q
R,fn_key_r,0x15,"""R""",kVK_ANSI_R,XK_r,KEY_R
S,fn_key_s,0x16,"""S""",kVK_ANSI_S,XK_s,KEY_S
T,fn_key_t,0x17,"""T""",kVK_ANSI_T,XK_t,KEY_T
U,fn_key_u,0x18,"""U""",kVK_ANSI_U,XK_u,KEY_U
V,fn_key_v,0x19,"""V""",kVK_ANSI_V,XK_v,KEY_V
W,fn_key_w,0x1A,"""W""",kVK_ANSI_W,XK_w,KEY_W
X,fn_key_x,0x1B,"""X""",kVK_ANSI_X,XK_x,KEY_X
Y,fn_key_y,0x1C,"""Y""",kVK_ANSI_Y,XK_y,KEY_Y
Z,fn_key_z,0x1D,"""Z""",kVK_ANSI_Z,XK_z,KEY_Z
1,fn_key_1,0x1E,"""1""",kVK_ANSI_1,XK_1,KEY_1
2,fn_key_2,0x1F,"""2""",kVK_ANSI_2,XK_2,KEY_2
3,fn_key_3,0x20,"""3""",kVK_ANSI_3,XK_3,KEY_3
4,fn_key_4,0x21,"""4""",kVK_ANSI_4,XK_4,KEY_4
5,fn_key_5,0x22,"""5""",kVK_ANSI_5,XK_5,KEY_5
6,fn_key_6,0x23,"""6""",kVK_ANSI_6,XK_6,KEY_6
7,fn_key_7,0x24,"""7""",kVK_ANSI_7,XK_7,KEY_7
8,fn_key_8,0x25,"""8""",kVK_ANSI_8,XK_8,KEY_8
9,fn_key_9,0x26,"""9""",kVK_ANSI_9,XK_9,KEY_9
0,fn_key_0,0x27,"""0""",kVK_ANSI_0,XK_0,KEY_0
Enter,fn_key_enter,0x28,VK_RETURN,kVK_Return,XK_Return,KEY_ENTER
Escape,fn_key_escape,0x29,VK_ESCAPE,kVK_ANSI_Escape,XK_Escape,KEY_ESC
Backspace,fn_key_backspace,0x2A,VK_BACK,kVK_Delete,XK_BackSpace,KEY_BACKSPACE
Tab,fn_key_tab,0x2B,VK_TAB,kVK_Tab,XK_Tab,KEY_TAB
Space,fn_key_space,0x2C,VK_SPACE,kVK_Space,XK_space,KEY_SPACE
Hyphen,fn_key_hyphen,0x2D,VK_OEM_MINUS,kVK_ANSI_Minus,XK_minus,KEY_MINUS
Equal,fn_key_equal,0x2E,VK_OEM_PLUS,kVK_ANSI_Equal,XK_equal,KEY_EQUAL
Left Bracket,fn_key_left_bracket,0x2F,VK_OEM_4,kVK_ANSI_LeftBracket,XK_bracketleft,KEY_LEFTBRACE
Right Bracket,fn_key_right_bracket,0x30,VK_OEM_6,kVK_ANSI_RightBracket,XK_bracketright,KEY_RIGHTBRACE
Backslash,fn_key_backslash,0x31,VK_OEM_5,kVK_ANSI_Backslash,XK_backslash,KEY_BACKSLASH
Semicolon,fn_key_semicolon,0x33,VK_OEM_1,kVK_ANSI_Semicolon,XK_semicolon,KEY_SEMICOLON
